Day	Session Name	Poster group number	Paper ID	Track	Session start time	Day and time	Type
3	Virtual Poster Q&A Session 4	15	1014	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	181	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	1038	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	1007	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	213	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	99	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	286	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	675	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	611	Language Grounding to Vision, Robotics and Beyond	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	14	49-srw	Language Resources	9:15	Wed 9:15	srw
3	Virtual Poster Q&A Session 4	14	53	Language Resources and Evaluation	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	415	Language Resources and Evaluation	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	14	559	Language Resources and Evaluation	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	82	Multilinguality	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	756	Multilinguality	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	738	Multilinguality	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	15	263	Multilinguality	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	350	Multilinguality	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	478	NLP Applications	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	656	NLP Applications	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	29-srw	NLP Applications	9:15	Wed 9:15	srw
3	Virtual Poster Q&A Session 4	13	76	Question Answering	9:15	Wed 9:15	main
